Date,1-Titre_original,1-Titre_tronqué,1-Type,1-Lieu,1-Lien,1-Latitude,1-Longitude,2-Titre_original,2-Titre_tronqué,2-Type,2-Lieu,2-Lien,2-Latitude,2-Longitude,3-Titre_original,3-Titre_tronqué,3-Type,3-Lieu,3-Lien,3-Latitude,3-Longitude,4-Titre_original,4-Titre_tronqué,4-Type,4-Lieu,4-Lien,4-Latitude,4-Longitude,5-Titre_original,5-Titre_tronqué,5-Type,5-Lieu,5-Lien,5-Latitude,5-Longitude
6/8/2026,"Jess, la truie star de Sandillon : l'incroyable pari de Julie et Romain !","Jess, la truie star de _____ : l'incroyable pari de Julie et Romain !",ville,Sandillon,https://www.ici.fr/evenements/jess-la-truie-star-de-sandillon-l-incroyable-pari-de-julie-et-romain-3039930,47.8455805,2.0327513,"Mais où est passé Doudou, ce cacatoès rosalbin porté disparu à Nîmes ?","Mais où est passé Doudou, ce cacatoès rosalbin porté disparu à _____ ?",ville,Nîmes,https://www.ici.fr/occitanie/gard-30/nimes/mais-ou-passe-doudou-ce-cacatoes-rosalbin-porte-disparu-a-nimes-depuis-deux-jours-7165133,43.8374249,4.3600687,Faire pipi sur une brûlure de physalie est-elle la bonne idée ? La réponse d'un sauveteur côtier d'Anglet,Faire pipi sur une brûlure de physalie est-elle la bonne idée ? La réponse d'un sauveteur côtier d'_____,ville,Anglet,https://www.ici.fr/emissions/l-invite-de-la-redaction-de-ici-pays-basque/faire-pipi-sur-une-brulure-de-physalie-est-elle-la-bonne-idee-la-reponse-d-un-sauveteur-cotier-d-anglet-7202873,43.4813927,-1.5149935,Enquête en cours et garde à vue pour des soupçons de soumission chimique au festival Yzeures'n'Rock,Enquête en cours et garde à vue pour des soupçons de soumission chimique au festival _____'n'Rock,ville,Yzeures,https://www.ici.fr/centre-val-de-loire/indre-et-loire-37/yzeures-sur-creuse/enquete-en-cours-et-garde-a-vue-pour-des-soupcons-de-soumission-chimique-au-festival-yzeures-n-rock-9065262,46.7852983,0.8699479,"Sixième semaine de grève chez Haribo à Marseille, les salariés ne baissent pas les bras","Sixième semaine de grève chez Haribo à _____, les salariés ne baissent pas les bras",ville,Marseille,https://www.ici.fr/provence-alpes-cote-d-azur/bouches-du-rhone-13/marseille/sixieme-semaine-de-greve-les-salaries-d-haribo-a-marseille-ne-baissent-pas-les-bras-1525702,43.2963986,5.3777888
5/8/2026,Aquarium de Biarritz : une association dénonce une soirée d'entreprise organisée en présence de phoques,Aquarium de _____ : une association dénonce une soirée d'entreprise organisée en présence de phoques,ville,Biarritz,https://www.ici.fr/nouvelle-aquitaine/pyrenees-atlantiques-64/biarritz/aquarium-de-biarritz-une-association-denonce-une-soiree-d-entreprise-organisee-en-presence-de-phoques-7776386,43.4711437,-1.5527275,"Valence : un point de deal du quartier du Polygone visé par des tirs, six blessés, dont deux en urgence absolue","_____ : un point de deal du quartier du Polygone visé par des tirs, six blessés, dont deux en urgence absolue",ville,Valence,https://www.ici.fr/auvergne-rhone-alpes/drome-26/valence/valence-six-blesses-par-balles-entre-15-et-22-ans-dont-deux-en-urgence-absolue-2543191,44.9332277,4.8920811,Quand les ruines de Péronne devenaient un objet souvenir,Quand les ruines de _____ devenaient un objet souvenir,ville,Péronne,https://www.ici.fr/emissions/les-objets-d-une-bataille/quand-les-ruines-de-peronne-devenaient-un-objet-souvenir-7632861,49.9290847,2.9323535,Saint-Geniès-de-Fontedit : l'incroyable légende de la grenouille qui a sauvé le village,_____ : l'incroyable légende de la grenouille qui a sauvé le village,ville,Saint-Geniès-de-Fontedit,https://www.ici.fr/emissions/les-animaux-totemiques-de-l-herault/saint-genies-de-fontedit-l-incroyable-legende-de-la-grenouille-qui-a-sauve-le-village-3159895,43.467,3.17461,EN IMAGES - Le No Logo Festival s'installe sur son nouveau site à Pont-sur-l'Ognon pour la 13e édition ce week-end,EN IMAGES - Le No Logo Festival s'installe sur son nouveau site à _____ pour la 13e édition ce week-end,ville,Pont-sur-l'Ognon,https://www.ici.fr/bourgogne-franche-comte/haute-saone-70/pont-sur-l-ognon/en-images-le-nologo-festival-s-installe-sur-son-nouveau-site-a-pont-sur-l-ognon-pour-la-13eme-edition-ce-week-end-2994628,47.5209066,6.3873991
4/8/2026,Insolite dans l'Hérault : les légendes fascinantes du poulpe totémique de Boujan-sur-Libron,Insolite dans l'_____ : les légendes fascinantes du poulpe totémique de Boujan-sur-Libron,departement,Hérault,https://www.ici.fr/emissions/les-animaux-totemiques-de-l-herault/insolite-dans-l-herault-les-legendes-fascinantes-du-poulpe-totemique-de-boujan-sur-libron-2584908,43.591422,3.3553309,Un couple de Dordogne remporte 10 millions d'euros au Loto grâce à leur arrivée en avance au restaurant,Un couple de _____ remporte 10 millions d'euros au Loto grâce à leur arrivée en avance au restaurant,departement,Dordogne,https://www.ici.fr/nouvelle-aquitaine/dordogne-24/un-couple-de-dordogne-remporte-10-millions-d-euros-au-loto-grace-a-leur-arrivee-en-avance-au-restaurant-7567635,45.1429199,0.6321258,"VIDÉO - ""Ce n'est pas un animal de compagnie"" : deux fennecs placés à Biotropica à Val-de-Reuil","VIDÉO - ""Ce n'est pas un animal de compagnie"" : deux fennecs placés à Biotropica à _____",ville,Val-de-Reuil,https://www.ici.fr/emissions/l-info-d-ici-ici-normandie-seine-maritime-eure/video-ce-n-est-pas-un-animal-de-compagnie-deux-fennecs-places-a-biotropica-a-val-de-reuil-7017472,49.2716839,1.2128992,"Orne : il jette son mégot par la fenêtre de sa voiture dans une zone boisée, l'homme n'avait plus le droit de conduire","_____ : il jette son mégot par la fenêtre de sa voiture dans une zone boisée, l'homme n'avait plus le droit de conduire",departement,Orne,https://www.ici.fr/normandie/orne-61/putanges-le-lac/orne-il-jette-son-megot-par-la-fenetre-de-sa-voiture-dans-une-zone-boisee-l-homme-n-avait-plus-le-droit-de-conduire-4099188,48.575888,0.0448794,"""Il a chargé mon chien"" : un blaireau sème la terreur dans cette commune du Morbihan","""Il a chargé mon chien"" : un blaireau sème la terreur dans cette commune du _____",departement,Morbihan,https://www.ici.fr/emissions/l-info-d-ici-ici-armorique/il-a-charge-mon-chien-un-blaireau-seme-la-terreur-dans-cette-commune-du-morbihan-2856951,47.8259812,-2.7633493
3/8/2026,"À Font-Obscure, à Marseille, la municipalité ressuscite une piscine enterrée depuis dix ans","À Font-Obscure, à _____, la municipalité ressuscite une piscine enterrée depuis dix ans",ville,Marseille,https://www.ici.fr/provence-alpes-cote-d-azur/bouches-du-rhone-13/marseille/a-font-obscure-dans-le-14eme-la-municipalite-ressuscite-une-piscine-enterree-depuis-dix-ans-9042570,43.2963986,5.3777888,"Voyou, ce beau Beauceron de 2 ans vous attend à la SPA de Salon-de-Provence","Voyou, ce beau Beauceron de 2 ans vous attend à la SPA de _____",ville,Salon-de-Provence,https://www.ici.fr/emissions/un-animal-a-adopter-ici-provence/voyou-ce-beau-beauceron-de-2-ans-vous-attend-a-la-spa-de-salon-de-provence-9714816,43.6405237,5.0980225,"Se promener torse nu à Beuzeville est désormais interdit : ""Des règles de bienséance et de respect"" pour le maire","Se promener torse nu à _____ est désormais interdit : ""Des règles de bienséance et de respect"" pour le maire",ville,Beuzeville,https://www.ici.fr/normandie/eure-27/beuzeville/se-promener-torse-nu-a-beuzeville-est-desormais-interdit-des-regles-de-bienseance-et-de-respect-pour-le-maire-5180633,49.3455531,0.3427251,"Cap d'Agde: ""Mon père a été visionnaire en transformant ses vignes en l'un des plus grands campings naturistes au monde""","_____: ""Mon père a été visionnaire en transformant ses vignes en l'un des plus grands campings naturistes au monde""",ville,Cap d'Agde,https://www.ici.fr/occitanie/mon-pere-a-ete-visionnaire-en-transformant-ses-vignes-en-l-un-des-plus-grands-campings-naturistes-au-monde-9584463,43.2845374,3.5117752,Le réacteur n°1 de la centrale nucléaire de Cattenom mis à l'arrêt pendant un mois,Le réacteur n°1 de la centrale nucléaire de _____ mis à l'arrêt pendant un mois,ville,Cattenom,https://www.ici.fr/grand-est/moselle-57/cattenom/le-reacteur-n01-de-la-centrale-nucleaire-de-cattenom-mis-a-l-arret-pendant-un-mois-1173175,49.4074405,6.244669
2/8/2026,Neuf bouteilles de protoxyde d'azote saisies à Auxerre,Neuf bouteilles de protoxyde d'azote saisies à _____,ville,Auxerre,https://www.ici.fr/bourgogne-franche-comte/yonne-89/auxerre/neuf-bouteilles-de-protoxyde-d-azote-saisies-a-auxerre-6532815,47.7961287,3.570579,VIDÉO - Plongeon de la mort : il saute de 20 mètres de haut au Pont du Gard et écope d'une amende de 100 euros,VIDÉO - Plongeon de la mort : il saute de 20 mètres de haut au _____ et écope d'une amende de 100 euros,ville,Pont du Gard,https://www.ici.fr/emissions/l-info-d-ici-ici-gard-lozere/video-pratiquant-le-doeds-il-saute-de-vingt-metres-de-haut-au-pont-du-gard-et-ecope-d-une-amende-de-cent-euros-9235456,43.9470703,4.5356005,Trois adolescents en garde à vue : ils ont poignardé un jeune pour lui voler sa trottinette électrique à Valence,Trois adolescents en garde à vue : ils ont poignardé un jeune pour lui voler sa trottinette électrique à _____,ville,Valence,https://www.ici.fr/auvergne-rhone-alpes/drome-26/valence/trois-adolescents-en-garde-a-vue-ils-ont-poignarde-un-jeune-pour-lui-voler-sa-trottinette-electrique-a-valence-7824028,44.9332277,4.8920811,"A-hed an dour, de la source à la mer : Ar Genkiz, ur stêrig saotret gant ar gêr vras","A-hed an dour, de la source à la mer : _____, ur stêrig saotret gant ar gêr vras",ville,Ar Genkiz,https://www.ici.fr/emissions/keleier-ar-reportaj/a-hed-an-dour-de-la-source-a-la-mer-ar-genkiz-ur-sterig-saotret-gant-ar-ger-vras-2997201,47.9741967,-4.054665,Chien abattu d'un coup de fusil à Ruillé-en-Champagne : le voisin se rend à la gendarmerie pour avouer les faits,Chien abattu d'un coup de fusil à _____ : le voisin se rend à la gendarmerie pour avouer les faits,ville,Ruillé-en-Champagne,https://www.ici.fr/pays-de-la-loire/sarthe-72/ruille-en-champagne/chien-abattu-d-un-coup-de-fusil-a-ruille-en-champagne-le-voisin-se-rend-a-la-gendarmerie-pour-avouer-les-faits-3433881,48.0598347,-0.0830236
1/8/2026,"Face à la sécheresse dans la Manche, un prêtre décide de bénir les terres... depuis un ULM","Face à la sécheresse dans la _____, un prêtre décide de bénir les terres... depuis un ULM",departement,Manche,https://www.ici.fr/normandie/manche-50/breville-sur-mer/face-a-la-secheresse-dans-la-manche-un-pretre-decide-de-benir-les-terres-depuis-un-ulm-6934370,49.0918952,-1.2454952,Free-party en Deux-Sèvres : près de 2.000 teufeurs menacés par les agriculteurs de la Coordination rurale,Free-party en _____ : près de 2.000 teufeurs menacés par les agriculteurs de la Coordination rurale,departement,Deux-Sèvres,https://www.ici.fr/nouvelle-aquitaine/deux-sevres-79/aubigny/free-party-en-deux-sevres-pres-de-2-500-teufeurs-menaces-par-les-agriculteurs-de-la-coordination-rurale-3750760,46.53914,-0.2994785,Le spectacle de Dieudonné à Val de Briey interrompu par la police et la préfecture,Le spectacle de Dieudonné à _____ interrompu par la police et la préfecture,ville,Val de Briey,https://www.ici.fr/grand-est/meurthe-et-moselle-54/val-de-briey/le-spectacle-de-dieudonne-a-val-de-briey-interrompu-par-la-police-et-la-prefecture-1155548,49.332878,5.8369082,Risque d'incendie : la préfecture de la Drôme interdit les ball traps jusqu'au 10 août,Risque d'incendie : la préfecture de la _____ interdit les ball traps jusqu'au 10 août,departement,Drôme,https://www.ici.fr/auvergne-rhone-alpes/drome-26/a-cause-du-risque-d-incendie-la-prefecture-de-la-drome-interdit-les-ball-traps-jusqu-au-10-aout-5041662,44.7295348,5.2046372,"""J'ai tout le temps des amies qui se font emmerder"" : il traverse la Bretagne en courant contre les violences sexistes","""J'ai tout le temps des amies qui se font emmerder"" : il traverse la _____ en courant contre les violences sexistes",region,Bretagne,https://www.ici.fr/bretagne/finistere-29/quimper/j-ai-tout-le-temps-des-amies-qui-se-font-emmerder-il-traverse-la-bretagne-en-courant-contre-les-violences-sexistes-5030029,48.2,-2.6
31/7/2026,"""Je suis pas très douée, mais je veux gagner !"" : des résidents d'Ehpad ont participé à leurs olympiades, à Annecy","""Je suis pas très douée, mais je veux gagner !"" : des résidents d'Ehpad ont participé à leurs olympiades, à _____",ville,Annecy,https://www.ici.fr/auvergne-rhone-alpes/haute-savoie-74/annecy/je-suis-pas-tres-douee-mais-je-veux-gagner-des-residents-d-ehpad-ont-participe-a-leurs-olympiades-a-annecy-4902390,45.8992348,6.1288847,"Trois semaines après avoir brûlé, le restaurant Coco Beach, à Guidel, a rouvert une guinguette pour sauver sa saison","Trois semaines après avoir brûlé, le restaurant Coco Beach, à _____, a rouvert une guinguette pour sauver sa saison",ville,Guidel,https://www.ici.fr/emissions/le-reportage-ici-breizh-izel/trois-semaines-apres-avoir-brule-le-restaurant-coco-beach-a-guidel-a-rouvert-une-guinguette-pour-sauver-sa-saison-1814322,47.7894226,-3.4914955,La place de l'apéro à Grésy-sur-Isère,La place de l'apéro à _____,ville,Grésy-sur-Isère,https://www.ici.fr/emissions/la-place-du-village-avec-philippe-et-jean-noel-deparis-a-la-decouverte-des-savoie/la-place-de-l-apero-a-gresy-sur-isere-8597120,45.5988,6.25733,Il disait avoir perdu son chat pour entrer chez des habitants : onze personnes victimes d'un escroc à Mesquer,Il disait avoir perdu son chat pour entrer chez des habitants : onze personnes victimes d'un escroc à _____,ville,Mesquer,https://www.ici.fr/pays-de-la-loire/loire-atlantique-44/mesquer/il-disait-avoir-perdu-son-chat-pour-entrer-chez-des-habitants-onze-personnes-victimes-d-un-escroc-a-mesquer-3752891,47.3991145,-2.4595913,"VIDÉO - ""C'est la première année qu'on est autant débordés "" : des garagistes du Mans sursollicités pour réparer la clim","VIDÉO - ""C'est la première année qu'on est autant débordés "" : des garagistes du _____ sursollicités pour réparer la clim",ville,Mans,https://www.ici.fr/pays-de-la-loire/sarthe-72/le-mans/video-c-est-la-premiere-annee-qu-on-est-autant-debordes-des-garagistes-du-mans-sursollicites-pour-reparer-la-clim-5913344,48.0073849,0.1967849
30/7/2026,"Poitiers : ""On est plus combatif que jamais"", la statue de Tiphaine Véron inaugurée au Japon, huit après sa disparition","_____ : ""On est plus combatif que jamais"", la statue de Tiphaine Véron inaugurée au Japon, huit après sa disparition",ville,Poitiers,https://www.ici.fr/emissions/l-info-d-ici-ici-poitou/l-info-d-ici-ici-poitou-la-statue-de-la-poitevine-tiphaine-veron-inauguree-au-japon-8132370,46.5802596,0.340196,Boulogne-sur-Mer : un couple de requins gris rejoint l'un des bassins de Nausicaa,_____ : un couple de requins gris rejoint l'un des bassins de Nausicaa,ville,Boulogne-sur-Mer,https://www.ici.fr/hauts-de-france/pas-de-calais-62/boulogne-sur-mer/boulogne-sur-mer-un-couple-de-requins-gris-rejoint-l-un-des-bassins-de-nausicaa-6033780,50.7259985,1.6118771,"Insolite : à Epinal, Laurent Mariotte fait le coup de la panne à Laurent Baffie","Insolite : à _____, Laurent Mariotte fait le coup de la panne à Laurent Baffie",ville,Epinal,https://www.ici.fr/grand-est/vosges-88/epinal/insolite-a-epinal-laurent-mariotte-fait-le-coup-de-la-panne-a-laurent-baffie-1370402,48.1747684,6.4503643,"Incendie de Brignoles : le feu est fixé après avoir parcouru 130 hectares, les consignes d'évacuation levées","Incendie de _____ : le feu est fixé après avoir parcouru 130 hectares, les consignes d'évacuation levées",ville,Brignoles,https://www.ici.fr/provence-alpes-cote-d-azur/var-83/brignoles/incendie-a-brignoles-une-centaine-d-hectares-parcourus-650-personnes-evacuees-5848509,43.4064401,6.0616452,EN IMAGES -Aya Nakamura fait danser plus d’un millier de fans sur une plage de Nice,EN IMAGES -Aya Nakamura fait danser plus d’un millier de fans sur une plage de _____,ville,Nice,https://www.ici.fr/provence-alpes-cote-d-azur/alpes-maritimes-06/nice/en-images-aya-nakamura-fait-danser-plus-d-un-millier-de-fans-sur-une-plage-de-nice-9163943,43.7009358,7.2683912
29/7/2026,"""J'adore être dans les airs"" : un jeune homme se filme en sautant du Pont du Gard","""J'adore être dans les airs"" : un jeune homme se filme en sautant du _____",ville,Pont du Gard,https://www.ici.fr/emissions/l-info-d-ici-ici-gard-lozere/j-adore-etre-dans-les-airs-un-jeune-homme-se-filme-en-sautant-du-pont-du-gard-3212653,,,"Il vole une carte bancaire dans la zone commerciale Carré Sud à Nîmes, mais se retrouve bloqué par sa victime","Il vole une carte bancaire dans la zone commerciale Carré Sud à _____, mais se retrouve bloqué par sa victime",ville,Nîmes,https://www.ici.fr/occitanie/gard-30/nimes/il-vole-une-carte-bancaire-dans-la-zone-commerciale-carre-sud-a-nimes-mais-se-retrouve-bloque-par-sa-victime-6184036,,,"Un chat brûlé en Sologne, le propriétaire persuadé que l'animal a été utilisé comme torche pour mettre le feu à la forêt","Un chat brûlé en _____, le propriétaire persuadé que l'animal a été utilisé comme torche pour mettre le feu à la forêt",region,Sologne,https://www.ici.fr/centre-val-de-loire/loir-et-cher-41/la-ferte-imbault/un-chat-brule-en-sologne-le-proprietaire-persuade-que-l-animal-a-ete-utilise-comme-torche-pour-mettre-le-feu-a-la-foret-8412660,,,"La Baule : les ""noix de mer"" envahissent l'eau et interpellent les baigneurs","_____ : les ""noix de mer"" envahissent l'eau et interpellent les baigneurs",ville,La Baule,https://www.ici.fr/pays-de-la-loire/loire-atlantique-44/la-baule-escoublac/la-baule-les-noix-de-mer-envahissent-l-eau-et-interpellent-les-baigneurs-9952078,,,"Planche de charcuterie, rosé... deux jeunes tentent d'échapper à l'addition dans un restaurant de Périgueux","Planche de charcuterie, rosé... deux jeunes tentent d'échapper à l'addition dans un restaurant de _____",ville,Périgueux,https://www.ici.fr/nouvelle-aquitaine/dordogne-24/perigueux/planche-de-charcuterie-rose-deux-jeunes-tentent-d-echapper-a-l-addition-dans-un-restaurant-de-perigueux-7803430,,
28/7/2026,Cannabis dans de fausses barres chocolatées : trois ans de prison pour le trafiquant arrêté à Biriatou sur l'A63,Cannabis dans de fausses barres chocolatées : trois ans de prison pour le trafiquant arrêté à _____ sur l'A63,ville,Biriatou,https://www.ici.fr/nouvelle-aquitaine/pyrenees-atlantiques-64/bayonne/cannabis-dans-de-fausses-barres-chocolatees-trois-ans-de-prison-pour-le-trafiquant-arrete-a-biriatou-sur-l-a63-4506923,,,"""Un sujet de discorde"" : 100 euros la pizza à l'ananas dans cette pizzeria en Mayenne, une plaisanterie de bon goût","""Un sujet de discorde"" : 100 euros la pizza à l'ananas dans cette pizzeria en _____, une plaisanterie de bon goût",departement,Mayenne,https://www.ici.fr/pays-de-la-loire/mayenne-53/andouille/un-sujet-de-discorde-100-euros-la-pizza-a-l-ananas-dans-cette-pizzeria-en-mayenne-une-plaisanterie-de-bon-gout-4403098,,,Clermont-Ferrand : il parie sur Mbappé buteur face à l'Espagne et transporte 1kg de cannabis pour rembourser sa dette,_____ : il parie sur Mbappé buteur face à l'Espagne et transporte 1kg de cannabis pour rembourser sa dette,ville,Clermont-Ferrand,https://www.ici.fr/auvergne-rhone-alpes/puy-de-dome-63/clermont-ferrand/clermont-ferrand-il-parie-sur-mbappe-buteur-face-a-l-espagne-et-transporte-1kg-de-cannabis-pour-rembourser-sa-dette-7805339,,,"""Une femme, c’est un peu comme une prise jack"" sur des tee-shirts à Vauvert : enquête ouverte pour injures publiques","""Une femme, c’est un peu comme une prise jack"" sur des tee-shirts à _____ : enquête ouverte pour injures publiques",ville,Vauvert,https://www.ici.fr/occitanie/gard-30/nimes/une-femme-c-est-un-peu-comme-une-prise-jack-sur-des-tee-shirts-a-vauvert-enquete-ouverte-pour-injures-publiques-9854726,,,"Il roulait 150 km/h au dessus de la limite autorisée, un conducteur intercepté sur la L2 à Marseille","Il roulait 150 km/h au dessus de la limite autorisée, un conducteur intercepté sur la L2 à _____",ville,Marseille,https://www.ici.fr/provence-alpes-cote-d-azur/bouches-du-rhone-13/marseille/il-roulait-150km-h-au-dessus-de-la-limite-autorisee-un-conducteur-intercepte-sur-la-l2-a-marseille-9220770,,
